time, light, accx, accy, accz,
20.704, 1.90466, -0.0255912, -0.0124276, 9.84695, 
20.736, 1.87144, -0.114753, -0.126288, 9.78792, 
20.768, 1.84715, -0.0103731, -0.0112155, 9.74555, 
20.8, 1.82991, -0.00492699, -0.260926, 9.77908, 
20.832, 1.81851, 0.0649256, -0.0437054, 9.6935, 
20.864, 1.80976, 0.00818958, -0.0407961, 9.7738, 
20.896, 1.82383, -0.00858074, -0.0366532, 9.91386, 
20.928, 1.79734, 0.303742, -0.364831, 9.74402, 
20.96, 1.79617, -0.203236, -0.380148, 9.82058, 
20.992, 1.80206, 0.0532918, -0.0471276, 9.8094, 
21.024, 1.77996, 0.00477262, -0.019663, 9.79185, 
21.056, 1.77577, -0.0490021, 0.0754313, 9.78669, 
21.088, 1.77231, -0.0872527, -0.0582751, 9.85499, 
21.12, 1.75, 0.297179, -0.449669, 9.80494, 
21.152, 1.75871, -0.120694, -0.239786, 9.78713, 
21.184, 1.76669, -0.0181368, -0.0397772, 9.83615, 
21.216, 1.74031, 0.452575, -0.235146, 9.80418, 
21.248, 1.75617, 0.0374265, 0.0115815, 9.8872, 
21.28, 1.73856, -0.0523193, -0.0209286, 9.83792, 
21.312, 1.72122, -0.0190175, 0.0583521, 9.87869, 
21.344, 1.73647, -0.0797919, -0.135693, 9.7291, 
21.376, 1.71679, 1.08079, -0.0900467, 9.83122, 
21.408, 1.71372, -0.00297535, 0.0194843, 9.83939, 
21.44, 1.72187, 0.0495379, 0.0489873, 9.79446, 
21.472, 1.7082, -0.000831637, -0.0193323, 9.78565, 
21.504, 1.70412, -0.0542155, 0.0874811, 9.76388, 
21.536, 1.72667, -0.0229457, -0.00634792, 9.80135, 
21.568, 1.69617, 0.0230877, 0.0968683, 9.7954, 
21.6, 1.72543, -0.00148279, -0.00469508, 9.77767, 
21.632, 1.73061, -0.0713352, -0.0200958, 9.79443, 
21.664, 1.69533, 0.140895, 0.0283918, 9.7324, 
21.696, 1.72795, -0.0437259, 0.00956506, 9.7433, 
21.728, 1.72179, -0.0304438, -0.0549224, 9.83556, 
21.76, 1.7009, -0.0920486, 0.211177, 9.73421, 
21.792, 1.73246, 0.0104528, -0.00131825, 9.83543, 
21.824, 1.68905, -0.0110386, 0.0651925, 9.75343, 
21.856, 1.70421, -0.00042775, 0.0309481, 9.69501, 
21.888, 1.74425, 0.0161188, -0.0254969, 9.76493, 
21.92, 1.69542, 0.0868132, 0.064354, 9.74627, 
21.952, 1.75194, -0.0279989, 0.0942025, 9.81109, 
21.984, 1.74286, 0.0108317, -0.100996, 9.88124, 
22.016, 1.71873, 0.00558775, -0.0647682, 9.80116, 
22.048, 1.761, -0.0881389, 0.0102772, 9.82036, 
22.08, 1.75938, -0.0193572, 0.0393124, 9.80938, 
22.112, 1.72651, -0.000656235, -0.0703454, 9.81065, 
22.144, 1.7705, -0.0815976, -0.0482104, 9.9028, 
22.176, 1.73666, -0.0230291, -0.0781213, 9.83447, 
22.208, 1.73549, -0.00485589, 0.00707745, 9.85267, 
22.24, 1.79288, 0.0310309, 0.0211036, 9.8174, 
22.272, 1.75704, -0.0675664, -0.00177131, 9.73344, 
22.304, 1.75848, 0.0168072, -0.079541, 9.80951, 
22.336, 1.81115, 0.0574381, -0.103719, 9.79398, 
22.368, 1.76461, 0.0235065, -0.0463013, 9.82275, 
22.4, 1.83082, -0.0261736, -0.0244435, 9.79314, 
22.432, 1.85339, -0.0221428, -0.0686369, 9.74802, 
22.464, 1.80199, 0.0142423, -0.0995109, 9.80617, 
22.496, 1.87496, 0.00550838, 0.0346615, 9.88855, 
22.528, 1.87522, -0.0330282, -0.00320417, 9.74228, 
22.56, 1.82749, 0.0463237, -0.00208247, 9.76517, 
22.592, 1.91419, 0.0118102, 0.0298115, 9.82219, 
22.624, 1.86984, 0.0205811, 0.0667539, 9.71529, 
22.656, 1.87762, 0.0193758, 0.0685684, 9.78507, 
22.688, 1.97468, 0.0349845, -0.0249679, 9.86477, 
22.72, 1.93039, 0.0301423, 0.0473589, 9.89649, 
22.752, 2.02503, 0.00869122, 0.0502982, 9.80606, 
22.784, 2.03568, 0.0173584, 0.0206681, 9.82144, 
22.816, 1.98928, 0.0214926, -0.0402455, 9.773, 
22.848, 2.08633, 0.0475681, 0.0879341, 9.78989, 
22.88, 2.12311, 0.00784232, -0.00922243, 9.823, 
22.912, 2.06458, -0.00571598, -0.00804675, 9.7408, 
22.944, 2.14589, -0.075204, -0.00847635, 9.83328, 
22.976, 2.06947, 0.00394626, 0.025172, 9.80462, 
23.008, 2.08647, -0.0332723, -0.069898, 9.81703, 
23.04, 2.16592, -0.0262081, -0.0552461, 9.75156, 
23.072, 2.08946, 0.0154089, 0.00769121, 9.7258, 
23.104, 2.08411, 0.0450635, -0.0659503, 9.86348, 
23.136, 2.20356, -0.0302828, -0.0381048, 9.82767, 
23.168, 2.09165, 0.0138126, -0.0321608, 9.84625, 
23.2, 2.20032, -0.0231442, 0.0488661, 9.80159, 
23.232, 2.1841, -0.0382286, -0.056681, 9.79681, 
23.264, 2.08438, 0.0394695, 0.0558912, 9.84863, 
23.296, 2.1899, -0.036292, 0.0177056, 9.8231, 
23.328, 2.19678, 0.0237221, 0.0345027, 9.80392, 
23.36, 2.10592, 0.0151351, 0.0150275, 9.83415, 
23.392, 2.21273, 0.0284708, 0.00372787, 9.81275, 
23.424, 2.1024, 0.00194352, 0.0164183, 9.76667, 
23.456, 2.12491, -0.0246756, 0.0782022, 9.7902, 
23.488, 2.20328, -0.0200673, 0.0321191, 9.7845, 
23.52, 2.11551, -0.0113884, -0.0856685, 9.87, 
23.552, 2.20874, 0.00991013, -0.0876274, 9.8358, 
23.584, 2.21738, -0.0184021, -0.0431693, 9.80591, 
23.616, 2.10912, -0.00102997, -0.16237, 9.77956, 
23.648, 2.21715, -0.0830513, -0.0320894, 9.76439, 
23.68, 2.22103, 0.0158898, -0.0766012, 9.85143, 
23.712, 2.12614, 0.0647895, -0.00564091, 9.80838, 
23.744, 2.22949, 0.0210711, -0.110959, 9.77139, 
23.776, 2.12223, -0.0300346, -0.0695712, 9.83512, 
23.808, 2.13477, 0.0572661, 0.00920385, 9.74108, 
23.84, 2.22425, 0.00686966, -0.0696482, 9.78484, 
