time, x, y, heading, vel_x, vel_y, vel_heading,
0.752, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.40168e-15, 5.2804e-15, -9.45581e-14, 
0.76, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.04932e-15, 4.55132e-15, -7.41541e-14, 
0.768, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.25261e-15, 3.97407e-15, -5.9179e-14, 
0.776, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.40168e-15, 2.67239e-15, -4.80636e-14, 
0.784, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.41524e-15, 2.47567e-15, -3.68262e-14, 
0.792, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.57787e-15, 1.98883e-15, -2.85194e-14, 
0.8, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.57787e-15, 1.48697e-15, -2.26113e-14, 
0.808, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.7405e-15, 1.49734e-15, -1.85536e-14, 
0.816, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.2255e-15, 4.68621e-16, -1.38581e-14, 
0.824, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.42879e-15, 1.71736e-16, -1.14072e-14, 
0.832, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.40168e-15, 8.92137e-16, -8.40659e-15, 
0.84, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.56431e-15, 8.24798e-16, -6.99586e-15, 
0.848, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.59142e-15, 3.89e-16, -6.08678e-15, 
0.856, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.41524e-15, 2.80791e-16, -3.91414e-15, 
0.864, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.23905e-15, 7.60847e-16, -2.78271e-15, 
0.872, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.23905e-15, 3.4199e-16, -2.39414e-15, 
